name,money_raised,announced_date,location,industries,description,funding_type,lead_investors,total_funding
FibreCoat,"$3,000,000","Oct 21, 2021","Aachen, Nordrhein-Westfalen, Germany, Europe","Advanced Materials, Automotive, Industrial Engineering, Manufacturing, Military",FibreCoat produces thermoplastic-coated fibres for composites and aluminium-coated fibres for shielding applications.,Series A,GOOSE Capital,"$4,336,353"
ANYWAVES,"$3,000,000","Dec 9, 2022","Toulouse, Midi-Pyrenees, France, Europe","Aerospace, Air Transportation, Manufacturing, Mechanical Engineering",ANYWAVES is a manufacturer of space applications and satellite constellations equipment.,Venture - Series Unknown,—,"$3,000,000"
Kambr,"$3,000,000","Jan 13, 2021","Amsterdam, Noord-Holland, The Netherlands, Europe","Aerospace, B2B, Consulting, Media and Entertainment, Software, Travel","Raising airline revenue performance through Software, Consultancy and Content.",Seed,"Bill Luby, Jim Collis, Michael Scheeringa","$7,000,000"
Zero Gravity,"$3,000,000","Oct 21, 2022","Arlington, Virginia, United States, North America","Aerospace, Air Transportation, Tourism",Zero Gravity is a privately-held space entertainment and tourism company.,Private Equity,—,"$3,000,000"
Mindtrace,"$3,000,000","Feb 22, 2021","Manchester, Manchester, United Kingdom, Europe","Aerospace, Artificial Intelligence (AI), Asset Management, Automotive, Construction, Health Care, Pharmaceutical, Real Estate, Retail Technology, Warehousing","Mindtrace bleeding edge artificial intelligence facilitates the automation of quality, safety & production systems throughout industry",Seed,Skylake Capital,"$4,744,210"
Fermata Discovery,"$3,000,000","Oct 18, 2022","New York, New York, United States, North America","Law Enforcement, SaaS, Software",Fermata Discovery is a SaaS firm that develops tools to automate and scale routine processes involved with investigative workflows.,Seed,New North Ventures,"$3,200,000"
Qanlex,"$3,000,000","Sep 2, 2022","Madrid, Madrid, Spain, Europe","Law Enforcement, Legal, Legal Tech",Qanlex provides litigation financing with a focus on continental law countries.,Seed,"Carao Ventures, FJ Labs, J Ventures, Preface Ventures, The LegalTech Fund","$35,800,000"
Accrete AI,"$3,000,000","Jul 9, 2021","New York, New York, United States, North America","Artificial Intelligence (AI), Government, Military, Software","Dual Use AI for defense, Intelligence and cybersecurity.",Venture - Series Unknown,—,"$29,950,000"
Zenith Aerospace,"$3,000,000","Dec 31, 2022","Palo Alto, California, United States, North America",Aerospace,Zenith Aerospace provides live 24/7 global asset monitoring solutions through a fleet of high altitude solar unmanned aircraft.,Venture - Series Unknown,—,"$10,925,000"
EnduroSat,"€2,500,000","Apr 16, 2021","Sofia, Grad Sofiya, Bulgaria, Europe","Aerospace, Satellite Communication, Software",EnduroSat designs and engineers spacecraft for business applications and space exploration missions.,Series A,Neo Ventures,"$28,640,707"
Arkadia Space,"€2,800,000","Oct 25, 2023","Benlloch, Comunidad Valenciana, Spain, Europe","Aerospace, Machinery Manufacturing, Manufacturing, Mechanical Engineering","Arkadia Space provides design, develop and commercialise engines and propulsion systems based on green propellants; the best alternative.",Seed,Draper B1,"€2,800,000"
Blackburn Energy,"$2,956,268","Jan 3, 2022","Rowley, Massachusetts, United States, North America","Charging Infrastructure, Clean Energy, Electric Vehicle, Energy, Military, Transportation",Blackburn Energy is a developer of a hybrid charging solution to turn heavy trucks into mobile charging platforms.,Venture - Series Unknown,—,"$5,593,538"
Cotsworks,"$2,939,991","Jul 29, 2022","Cleveland, Ohio, United States, North America","Aerospace, Communications Infrastructure, Information and Communications Technology (ICT), Manufacturing, Military","Cotsworks manufactures rugged optical components for the commercial, military, aerospace, and industrial markets.",Venture - Series Unknown,—,"$2,939,991"
Kubos,"$2,880,605","Jan 29, 2021","Portland, Oregon, United States, North America","Aerospace, Software",Kubos develops a cloud-native mission control platform for satellite operations.,Venture - Series Unknown,—,"$5,305,605"
Urban SDK,"$2,850,000","Nov 30, 2021","Jacksonville, Florida, United States, North America","Analytics, Civil Engineering, Government, Law Enforcement, Public Transportation, SaaS, Smart Cities, Software, Transportation",Urban SDK is a data analytics and visualization software that transforms data from the physical world and turns it into intelligence.,Seed,"DeepWork Capital, Florida Opportunity Fund","$4,570,000"
Revolv Space,"€2,600,000","May 28, 2024","Noordwijk, Zuid-Holland, The Netherlands, Europe","Aerospace, Hardware",Revolv Space enables continuous data generation for small satellites by rethinking their critical components.,Seed,Primo Ventures,"€2,600,000"
Qanlex,"$2,800,000","Feb 1, 2022","Madrid, Madrid, Spain, Europe","Law Enforcement, Legal, Legal Tech",Qanlex provides litigation financing with a focus on continental law countries.,Seed,—,"$35,800,000"
Skylark Labs,"$2,760,000","Feb 23, 2023","Palo Alto, California, United States, North America","Artificial Intelligence (AI), Computer Vision, Machine Learning, National Security, Physical Security, Security",Skylark Labs develops Dual-Use Self-Learning AI that provides analytics to strengthen National Security.,Seed,—,"$3,510,000"
Neuraspace,"€2,500,000","Mar 23, 2022","Coimbra, Coimbra, Portugal, Europe","Aerospace, Artificial Intelligence (AI)",Neuraspace is the developer of an advanced AI-powered Space debris monitoring & satellite collision avoidance platform.,Seed,Armilar Venture Partners,"€2,500,000"
Castings Technology International,"£2,000,000","Jan 21, 2021","South Otterington, North Yorkshire, United Kingdom, Europe","Aerospace, Manufacturing","Castings Technology International Ltd (CTI) is a provider of manufacturing, technology, expertise and services to the cast metals sector.",Venture - Series Unknown,Mercia Asset Management,"£2,000,000"
Orbite,"$2,724,998","Dec 20, 2023","Seattle, Washington, United States, North America","Aerospace, Leisure, Space Travel, Training",Orbite is a space training company that offers space travel and luxury hospitality.,Seed,—,"$2,724,998"
SpaceAble,"€2,300,000","Oct 31, 2021","Paris, Ile-de-France, France, Europe","Aerospace, Data Management, Space Travel, Sustainability",SpaceAble is a forecast company that develops data processing software.,Seed,—,"€3,775,000"
Productive Machines,"£2,200,000","Feb 23, 2023","Sheffield, Sheffield, United Kingdom, Europe","Aerospace, Artificial Intelligence (AI), Automotive, Industrial Automation, Internet, Manufacturing, Software","Industry 4.0, Edge, SaaS, AI, ML, Digital Twin, Faster to the Best Part First Time",Seed,UK Innovation & Science Seed Fund,"£2,300,000"
Verijet,"$2,591,000","Dec 19, 2019","Opa Locka, Florida, United States, North America","Aerospace, Artificial Intelligence (AI), Software",Verijet is a technology company using novel AI and supercomputing to grow the private aviation industry.,Seed,—,"$14,068,628"
Drone Express,"$2,585,000","Dec 9, 2021","Dayton, Ohio, United States, North America","Aerospace, Delivery Service, Drones",Drone Express is a full-service logistics company that uses airborne autonomous drones for local package delivery.,Seed,—,"$7,751,500"
Titan Health & Security Technologies,"$2,565,836","Jan 3, 2022","Newport Beach, California, United States, North America","Enterprise Software, Information Technology, Law Enforcement, Messaging, mHealth, Mobile, Public Safety, SaaS","Titan HST offers a comprehensive emergency communications network and mass notification system serving businesses, schools, and governments.",Venture - Series Unknown,—,"$6,331,836"
RAB Microfluidics,"£2,200,000","Aug 30, 2022","Aberdeen, Aberdeen City, United Kingdom, Europe","Aerospace, Manufacturing, Marine Transportation, Nanotechnology, Oil and Gas, Renewable Energy",Is a technology company that diagnoses & prevents failure in rotating equipment using patented microfluidic technology & AI.,Seed,Par Equity,"£3,440,000"
Free Form Fibers,"$2,500,000","Nov 23, 2020","Saratoga Springs, New York, United States, North America","Aerospace, Energy, Military",Free Form Fibers develops a process based on chemical vapor deposition to create fiber arrays for the defense and energy industries.,Seed,James Besser,"$3,750,000"
Firehawk Aerospace,"$2,500,000","Nov 24, 2020","Dallas, Texas, United States, North America","3D Printing, Aerospace, Manufacturing, National Security, Space Travel",Firehawk Aerospace develops and manufactures hybrid rocket engines and propulsion systems.,Seed,Victorum Capital,"$21,500,000"
Alpine Advanced Materials,"$2,500,000","Aug 3, 2021","Dallas, Texas, United States, North America","Aerospace, Manufacturing, Military, Nanotechnology",Alpine Advanced Materials specializes in best-in-class lightweight and affordable structural thermoplastic nanocomposites.,Venture - Series Unknown,—,"$3,750,000"
NSN Lookup,"$2,500,000","Dec 1, 2021","Merritt Island, Florida, United States, North America","Big Data, Business Intelligence, Data Mining, Data Visualization, Database, Government, GovTech, Market Research, Military, Product Research",Government and Military Supply Chain Intelligence and Data Mining,Pre-Seed,—,"$2,500,000"
Grid Raster,"$2,500,000","Jul 22, 2020","Mountain View, California, United States, North America","Aerospace, Automotive, Cloud Computing, Computer, Information Technology, Software",Grid Raster is a provider of cloud-based XR platforms that powers high-performance and scalable AR/VR/MR experiences on mobile devices.,Venture - Series Unknown,"Blackhorn Ventures, MaC Venture Capital","$6,275,000"
Fitfighter,"$2,500,000","Jun 6, 2022","Washington, District of Columbia, United States, North America","Fitness, Health Care, Military, Training",Fitfighter is a weight system that offers gym programs and military training to its clients.,Seed,"Abraham Trust, Jennus Innovation","$2,500,000"
VRgineers,"$2,500,000","Aug 4, 2021","Dover, Delaware, United States, North America","Aerospace, Augmented Reality, Information Technology, Virtual Reality",We deliver next-generation virtual and mixed reality pilot training systems for professional and military clients.,Venture - Series Unknown,—,"$12,743,158"
GPMS,"$2,500,000","Jan 3, 2022","Burlington, Vermont, United States, North America","Aerospace, Apps, Software",GPMS develops condition monitoring systems for industrial and aviation applications.,Venture - Series Unknown,—,"$7,079,606"
NALEJ /knowledge [nal-ej]/ Corporation,"$2,500,000","Jul 1, 2019","New York, New York, United States, North America","Aerospace, Cloud Computing, Cloud Data Services, Embedded Systems, Information Technology, Intelligent Systems, Logistics, Software",NALEJ is a software company that develops and operates a mosaic OS and platform.,Seed,TheVentureCity,"$5,500,000"
Skyryse,"$2,500,000","May 15, 2020","El Segundo, California, United States, North America","Aerospace, Air Transportation, Internet, Transportation",Skyryse is an air mobility company on a mission to democratize the sky.,Convertible Note,—,"$240,500,000"
Geminus,"$2,500,000","Feb 4, 2019","Cambridge, Massachusetts, United States, North America","Aerospace, Artificial Intelligence (AI), Chemical, Clean Energy, Energy Efficiency, Energy Storage, Oil and Gas, Renewable Energy, Semiconductor","Geminus is pioneering AI for engineering and science, delivering new, disruptive AI approaches based on physics.",Pre-Seed,The Hive,"$22,900,000"
